date,Administratif,Aéronautique,Agriculture,Agro-alimentaire,Animation,Architecture,Artisanat,Assistante de direction,Assurances,Audiovisuel,Audit,Automobile,Autres,Aviation,Banque,Biologie,Call Center,Chimie,Commerce,Communication,Comptabilité,Confection,Consulting,Cosmétique,Cuisine,Décor,Documentation,Droit,Economie,Energie,Enseignement,Finance,Fiscalité,Génie civil,Génie électrique,Gestion,Hydraulique,Immobilier,Import / Export,Industrie électro-mécaniques,Industrie Métalliques,Informatique,Journalisme,Langues,Logistique,Maintenance industrielle,Management,Marketing,Plasturgie,Production,Psychologie,Rédaction,Ressources Humaines,Santé,Sécurité,Sport,Statistiques,Telecommunication,Textile,Tourisme,Traduction,Transport,pib,chomage,Freelance,Secteur privé,Secteur public
07/19,11,0,0,1,0,1,0,6,1,3,0,1,8,0,1,0,11,1,20,2,4,1,0,0,5,0,0,0,1,1,0,0,0,5,3,1,1,0,0,4,4,79,1,3,0,2,1,3,1,3,0,1,1,6,0,3,1,0,1,7,1,2,-1.83,15.13,2,193,1
08/19,9,0,0,3,0,1,0,1,1,1,0,2,3,0,1,0,8,1,22,2,7,0,1,1,2,0,0,2,0,0,5,1,0,2,1,2,1,1,0,6,0,47,0,0,2,2,2,7,0,3,0,2,7,0,2,2,0,1,0,12,0,4,-1.83,15.13,1,165,5
09/19,14,0,0,3,1,2,1,3,0,1,2,0,5,0,0,1,12,2,22,1,10,4,3,2,2,0,0,1,0,0,3,2,0,2,2,3,0,2,0,8,0,56,0,0,4,1,2,3,1,4,0,4,3,8,1,2,0,1,0,10,1,2,-1.83,15.13,3,202,0
10/19,13,0,0,0,0,1,0,3,2,1,1,0,6,0,5,0,9,0,21,1,9,0,0,0,1,0,0,0,0,0,3,6,1,3,0,1,0,0,1,1,2,55,1,1,2,1,5,4,0,4,0,1,5,3,1,0,0,3,1,5,0,5,-1.83,15.13,3,171,4
11/19,10,0,0,0,2,1,0,5,1,1,3,0,4,0,1,0,2,1,12,1,11,2,2,0,3,0,1,0,0,0,2,2,0,1,1,2,0,1,1,0,0,57,1,1,0,2,1,3,0,3,0,0,3,3,2,3,0,2,1,5,1,5,-1.83,15.13,1,148,2
12/19,12,0,0,1,0,8,0,2,1,1,1,0,4,0,0,0,5,0,18,4,1,0,2,0,0,0,0,0,0,0,3,2,0,2,1,2,1,0,0,4,2,47,0,1,0,1,5,3,0,1,0,1,1,5,1,0,0,1,1,4,0,1,-1.83,15.13,2,135,1
01/20,14,0,0,2,0,1,0,4,1,1,3,0,1,0,0,0,12,0,15,2,10,0,4,1,9,0,0,0,0,0,4,3,0,1,0,6,0,1,0,5,2,29,0,3,3,3,2,2,0,2,0,4,4,3,0,2,0,2,1,10,0,2,1.51,16.37,6,153,3
02/20,14,0,0,0,1,1,0,2,0,0,0,1,2,0,0,0,5,0,6,0,1,0,2,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,15,0,0,0,1,0,5,0,0,0,0,1,1,0,0,0,0,0,3,0,2,1.51,16.37,3,60,2
03/20,6,0,0,0,0,0,0,1,0,2,0,0,1,0,2,0,8,0,9,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,2,2,0,0,0,1,1,20,0,0,2,0,0,5,0,3,0,0,0,3,1,0,0,2,0,1,0,3,1.51,16.37,0,79,0
04/20,9,0,0,2,0,0,0,3,1,0,0,0,4,0,0,0,0,0,12,4,2,0,2,1,4,0,0,0,0,0,2,4,0,2,2,2,0,1,1,0,2,32,0,2,2,2,2,2,0,3,0,0,4,8,0,0,0,1,0,5,0,1,1.51,16.37,2,106,0
